"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"1";"";"DIODESMB";"SMB-DIODE";"D1";"Diode";"DIO-09646";"";
"3";"";"DIODESOD123";"SOD-123";"D2, D3, D7";"Diode";"";"";
"2";"";"M04PTH";"1X04";"RX_MOD_CONN, TX_MOD_CONN";"Header 4";"";"";
"2";"";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Q1, Q2";"Generic NPN BJT";"TRANS-08049";"";
"1";"0";"RESISTOR0805-RES";"0805";"R5";"Resistor";"";"";
"1";"0.1uF";"CAP0805";"0805";"C4";"Capacitor";"";"";
"1";"100uF";"CPOL-USB/3528-21R";"T/3528-12R";"C6";"POLARIZED CAPACITOR, American symbol";"";"";
"1";"100uF";"CPOL-USC/6032-28R";"C/6032-28R";"C5";"POLARIZED CAPACITOR, American symbol";"";"";
"1";"10K";"RESISTOR0805-RES";"0805";"R1";"Resistor";"";"";
"1";"150";"RESISTOR0805-RES";"0805";"R2";"Resistor";"";"";
"1";"16MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Y1";"Various standard crystals. Proven footprints.";"XTAL-08218";"";
"2";"18pF";"CAP0805";"0805";"C1, C2";"Capacitor";"";"";
"3";"1uF";"CAP0805";"0805";"C3, C7, C9";"Capacitor";"";"";
"1";"2K2";"RESISTOR0805-RES";"0805";"R9";"Resistor";"";"";
"1";"2X6 FEMALE";"M06X2PTH_FEMALE";"2X6";"JP2";"";"CONN-12423";"2X6 FEMALE";
"2";"330";"RESISTOR0805-RES";"0805";"R3, R4";"Resistor";"";"";
"2";"4.7K";"RESISTOR0805-RES";"0805";"R6, R8";"Resistor";"";"";
"1";"4.7uF";"CAP0805";"0805";"C8";"Capacitor";"";"";
"1";"6K8";"RESISTOR0805-RES";"0805";"R7";"Resistor";"";"";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U1";"";"IC-09069";"ATMEGA328P_TQFP";
"1";"AVRISP-6";"AVRISP-6";"AVRISP";"ISP1";"AVR ISP HEADER";"";"";
"1";"BUZZERPTH";"BUZZERPTH";"BUZZER-12MM";"SG1";"Buzzer 12mm";"";"";
"1";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"JP3";"FTDI Basic header with labels";"";"";
"1";"LCD-HD447803-HOLES16X2-3-HOLES";"LCD-HD447803-HOLES16X2-3-HOLES";"LCD-16X2-3HOLES";"LCD";"";"";"";
"1";"MIC5219 5V";"V_REG_MIC52195V";"SOT23-5";"U2";"V_REG MIC5219";"VREG-10107";"MIC5219 5V";
"1";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"JP6";"Power Jack";"CONN-08197";"";
"2";"RED";"LED-RED1206";"LED-1206";"D5, D6";"Assorted Red LEDs";"DIO-09912";"RED";
"5";"SWITCH-MOMENTARY-2SMD";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"RESET, S1, S2, S3, S4";"Various NO switches- pushbuttons, reed, etc";"SWCH-08247";"";
"1";"TC33";"TC33";"TC33";"U$2";"";"";"";
"1";"WS2811";"LED-TRICOLOR-5050-ICWS2811";"LED-TRICOLOR-5050-IC";"U3";"WS2812 RGB LED w/ WS2811 driver";"DIO-11598";"WS2811";
