"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"BAT1";"3.7V";"BATTERY12MM";"BATTCON_12MM";"Battery Holders";"";"";"";"";"";"BATT-08044";"";"";
"BUZZER";"BATT";"M02-JST-2-PTH-NO_SILK";"JST-2-PTH-NS";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";
"C1";"0.22uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C2";"68pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C3";"22uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C4";"0.22uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C5";"68pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C6";"47uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C7";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C8";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C9";"2.2uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C10";"470pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C11";"470pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C14";"";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C15";"2.2uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C16";"2.2uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C17";"22pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C18";"22pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C19";"22pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C20";"22pF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C21";"100nF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C22";"";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
"C23";"";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";
