"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"3";"";"CAP0805";"0805";"C14, C22, C23";"Capacitor";"";"";"";"";"";"";"";"";
"2";"";"INDUCTOR0805";"0805";"L1, L2";"Inductors";"";"";"";"";"";"";"";"";
"2";"0";"RESISTOR0805-RES";"0805";"R19, R20";"Resistor";"";"";"";"";"";"";"";"";
"2";"0.22uF";"CAP0805";"0805";"C1, C4";"Capacitor";"";"";"";"";"";"";"";"";
"2";"1.8uH";"SRR4028";"SRR4028";"L3, L6";"POWER INDUCTOR";"";"";"";"";"";"";"";"";
"1";"100nF";"CAP0805";"0805";"C21";"Capacitor";"";"";"";"";"";"";"";"";
"2";"100uF";"TPSB107M010R0400";"1210-POLARIZED";"CIN, CIN1";"";"";"";"";"";"";"";"";"";
"17";"10K";"RESISTOR0805-RES";"0805";"R1, R2, R6, R7, R8, R9, R10, R11, R12, R14, R21, R22, R23, R43, R44, R47, R49";"Resistor";"";"";"";"";"";"";"";"";
"2";"10k";"RESISTOR0805-RES";"0805";"R3, R5";"Resistor";"";"";"";"";"";"";"";"";
"1";"1N5819HW-7-F";"1N5819HW-7-F";"SOD123";"D4";"";"";"";"";"";"";"";"";"";
"4";"1uF";"CAP0805";"0805";"C24, C25, C27, C28";"Capacitor";"";"";"";"";"";"";"";"";
"3";"2.2uF";"CAP0805";"0805";"C9, C15, C16";"Capacitor";"";"";"";"";"";"";"";"";
"3";"22";"RESISTOR0805-RES";"0805";"R16, R17, R18";"Resistor";"";"";"";"";"";"";"";"";
"4";"22pF";"CAP0805";"0805";"C17, C18, C19, C20";"Capacitor";"";"";"";"";"";"";"";"";
"1";"22uF";"CAP0805";"0805";"C3";"Capacitor";"";"";"";"";"";"";"";"";
"1";"2K";"RESISTOR0805-RES";"0805";"R4";"Resistor";"";"";"";"";"";"";"";"";
"2";"2N7002K-T1-E3";"MOSFET-NREFLOW";"SOT23";"Q1, Q3";"N-Channel Mosfet";"";"";"";"";"";"";"";"";
"1";"3.7V";"BATTERY12MM";"BATTCON_12MM";"BAT1";"Battery Holders";"";"";"";"";"";"BATT-08044";"";"";
"1";"30K";"RESISTOR0805-RES";"0805";"R13";"Resistor";"";"";"";"";"";"";"";"";
"6";"4.7K";"RESISTOR0805-RES";"0805";"R26, R27, R28, R42, R45, R46";"Resistor";"";"";"";"";"";"";"";"";
"2";"4.7uF";"CAP0805";"0805";"C7, C8";"Capacitor";"";"";"";"";"";"";"";"";
"2";"470pF";"CAP0805";"0805";"C10, C11";"Capacitor";"";"";"";"";"";"";"";"";
"1";"47uF";"CAP0805";"0805";"C6";"Capacitor";"";"";"";"";"";"";"";"";
"2";"68pF";"CAP0805";"0805";"C2, C5";"Capacitor";"";"";"";"";"";"";"";"";
"1";"84.5K";"RESISTOR0805-RES";"0805";"R15";"Resistor";"";"";"";"";"";"";"";"";
"2";"BATT";"M02-JST-2-PTH-NO_SILK";"JST-2-PTH-NS";"BUZZER, JP3";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";
"2";"BC847";"BC847";"SOT23";"T1, T2";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";
